Sample ID::Project ID,Sample ID::WSU_Sample ID,Isotope.ID,Analysis,δ¹⁵N corr,Uc N,Wt%N,Uc N_Percents,Amount,Analyst comments,Area All N,Area All C,mgN,Uc N_mg
3834,332384,IRIART2023_35,X-45614.3,0.21 ,0.23 ,4.364 ,0.019 ,1.111 ,,39.332,59.561,0.048483938,0.00021539
3834,332385,IRIART2023_36,X-45615.3,0.65 ,0.23 ,4.669 ,0.018 ,0.950 ,,35.979,49.488,0.044351098,0.000173986
3834,332386,IRIART2023_37,X-45616.3,-0.88,0.23 ,2.580 ,0.011 ,1.064 ,,22.264,50.472,0.027446263,0.000118121
3834,332387,IRIART2023_38,X-45617.3,3.62 ,0.23 ,3.334 ,0.011 ,1.212 ,,32.777,60.443,0.040404377,0.000139014
3834,332388,IRIART2023_40,X-45618.3,1.85 ,0.23 ,3.949 ,0.013 ,1.005 ,,32.192,52.129,0.039683317,0.000133397
3834,332389,IRIART2023_43,X-45619.3,2.28 ,0.23 ,4.574 ,0.022 ,1.114 ,,41.338,59.807,0.050956494,0.00024149
3834,332390,IRIART2023_44,X-45620.3,0.31 ,0.23 ,2.170 ,0.014 ,1.078 ,,18.975,51.959,0.023392307,0.000147971
3834,332391,IRIART2023_45,X-45624.3,2.04 ,0.23 ,4.878 ,0.023 ,1.036 ,,40.993,49.846,0.050531254,0.000236949
3834,332392,IRIART2023_46,X-45625.3,1.53 ,0.23 ,3.864 ,0.013 ,1.005 ,,31.5,50.361,0.038830372,0.000127169
3834,332393,IRIART2023_48,X-45626.3,1.07 ,0.23 ,5.309 ,0.025 ,0.969 ,,41.735,50.807,0.051445828,0.000246737
3834,332394,IRIART2023_49,X-45627.3,0.74 ,0.23 ,2.860 ,0.010 ,1.040 ,,24.13,49.885,0.029746257,0.000107171
3834,332395,IRIART2023_50,X-45628.3,1.21 ,0.23 ,3.414 ,0.011 ,0.973 ,,26.944,49.957,0.033214737,0.000102747
3834,332396,IRIART2023_52,X-46568.3,-0.62,0.25 ,2.453 ,0.003 ,0.684 ,,5.944,58.934,0.016778815,2.12455E-05
3834,332397,IRIART2023_54,X-45596.3,-0.22,0.23 ,1.985 ,0.012 ,1.217 ,,19.595,63.65,0.024156507,0.000141589
3834,332398,IRIART2023_55,X-45629.3,1.17 ,0.23 ,3.223 ,0.012 ,1.325 ,,34.641,67.06,0.042701906,0.000158646
3834,332399,IRIART2023_56,X-46004.3,1.54 ,0.23 ,5.702 ,0.012 ,0.954 ,,45.224,47.201,0.054398864,0.000112498
3834,332400,IRIART2023_57,X-46005.3,4.01 ,0.23 ,1.392 ,0.010 ,0.998 ,,11.522,53.378,0.013891667,0.000103488
3834,332401,IRIART2023_58,X-46006.3,-0.66,0.23 ,2.408 ,0.003 ,1.206 ,,24.129,62.799,0.029044306,4.03139E-05
3834,332402,IRIART2023_59,X-46007.3,-0.66,0.23 ,5.381 ,0.014 ,1.266 ,,56.642,64.478,0.068122418,0.000179788
3834,332403,IRIART2023_63,X-46008.3,0.31 ,0.23 ,1.781 ,0.033 ,0.408 ,,6.009,19.718,0.007265467,0.00013553
3834,332404,IRIART2023_64,X-46009.3,2.13 ,0.23 ,3.270 ,0.004 ,0.966 ,,26.243,49.072,0.03158517,3.53568E-05
3834,332405,IRIART2023_65,X-46010.3,1.11 ,0.23 ,3.987 ,0.005 ,1.048 ,,34.732,55.388,0.041788292,5.53615E-05
3834,332406,IRIART2023_66,X-46011.3,3.98 ,0.23 ,3.330 ,0.004 ,1.176 ,,32.543,59.56,0.039157283,4.56956E-05
3834,332407,IRIART2023_68,X-46012.3,1.96 ,0.23 ,3.866 ,0.004 ,1.010 ,,32.448,52.624,0.0390431,4.53178E-05
3834,332408,IRIART2023_70,X-46013.3,5.17 ,0.23 ,2.575 ,0.006 ,0.936 ,,20.016,43.522,0.024100798,5.74456E-05
3834,332409,IRIART2023_71,X-46014.3,0.93 ,0.23 ,4.200 ,0.006 ,1.030 ,,35.955,54.084,0.043258243,6.13564E-05
3834,332410,IRIART2023_75,X-46015.3,0.26 ,0.23 ,3.983 ,0.007 ,1.220 ,,40.392,61.102,0.048591174,8.50278E-05
3834,332411,IRIART2023_76,X-46019.3,2.40 ,0.23 ,2.504 ,0.005 ,1.014 ,,21.087,55.095,0.025388057,5.23802E-05
3834,332412,IRIART2023_77,X-46020.3,-0.25,0.23 ,1.647 ,0.018 ,0.666 ,,9.089,33.831,0.010967389,0.000117529
3834,332413,IRIART2023_81,X-46021.3,1.43 ,0.23 ,1.591 ,0.008 ,1.114 ,,14.71,58.214,0.017723396,8.54669E-05
3834,332414,IRIART2023_82,X-46022.3,-0.15,0.23 ,3.709 ,0.005 ,1.158 ,,35.7,62.751,0.042951753,6.008E-05
3834,332415,IRIART2023_83,X-46023.3,1.62 ,0.23 ,3.498 ,0.005 ,1.246 ,,36.223,64.059,0.043580359,6.27111E-05
3834,332416,IRIART2023_84,X-46024.3,2.31 ,0.23 ,2.969 ,0.005 ,0.936 ,,23.087,49.438,0.027791902,4.39481E-05
3834,332417,IRIART2023_86,X-46025.3,0.78 ,0.23 ,3.326 ,0.003 ,1.054 ,,29.134,56.389,0.035059929,3.56512E-05
3834,332418,IRIART2023_87,X-46026.3,0.14 ,0.23 ,2.716 ,0.003 ,1.106 ,,24.952,55.465,0.030033488,3.7947E-05
3834,332419,IRIART2023_88,X-46027.3,5.05 ,0.23 ,3.427 ,0.004 ,0.886 ,,25.228,45.403,0.030365219,3.72699E-05
3834,332420,IRIART2023_91,X-46028.3,1.13 ,0.23 ,3.456 ,0.005 ,1.244 ,,35.738,64.246,0.042997426,6.02694E-05
3834,332421,IRIART2023_92,X-46029.3,2.86 ,0.23 ,2.598 ,0.003 ,1.156 ,,24.949,60.91,0.030029882,3.79547E-05
3834,332422,IRIART2023_93,X-46030.3,1.13 ,0.23 ,5.102 ,0.009 ,0.974 ,,41.311,51.407,0.049695741,9.01612E-05
3834,332423,IRIART2023_94,X-46034.3,3.46 ,0.23 ,2.124 ,0.005 ,1.134 ,,20.007,51.263,0.02408998,5.74894E-05
3834,332424,IRIART2023_95,X-46035.3,-0.87,0.23 ,2.098 ,0.008 ,0.950 ,,16.543,48.507,0.01992652,7.54075E-05
3834,332425,IRIART2023_96,X-46036.3,-0.46,0.23 ,3.622 ,0.005 ,1.190 ,,35.826,65.373,0.043103195,6.07091E-05
3834,332426,IRIART2023_98,X-46037.3,1.82 ,0.23 ,4.308 ,0.006 ,0.970 ,,34.735,51.535,0.041791898,5.53758E-05
3834,332427,IRIART2023_99,X-46038.3,-3.88,0.23 ,5.293 ,0.010 ,0.938 ,,41.275,49.61,0.049652472,8.99591E-05
3834,332428,IRIART2023_100,X-46039.3,1.07 ,0.23 ,4.719 ,0.010 ,1.160 ,,45.508,63.047,0.05474021,0.000114142
3834,332429,IRIART2023_102,X-46040.3,1.71 ,0.23 ,3.963 ,0.007 ,1.272 ,,41.91,60.993,0.050415693,9.35349E-05
3834,332430,IRIART2023_103,X-46041.3,1.86 ,0.23 ,4.002 ,0.007 ,1.250 ,,41.588,62.642,0.050028674,9.17188E-05
3834,332431,IRIART2023_106,X-46042.3,1.64 ,0.23 ,2.801 ,0.003 ,1.088 ,,25.32,59.064,0.030475796,3.70583E-05
3834,332432,IRIART2023_107,X-46043.3,1.59 ,0.23 ,3.017 ,0.003 ,1.220 ,,30.591,62.768,0.03681113,3.89267E-05
3834,332433,IRIART2023_109,X-46044.3,1.01 ,0.23 ,3.091 ,0.005 ,0.924 ,,23.723,49.368,0.028556325,4.16533E-05
3834,332434,IRIART2023_110,X-46045.3,1.20 ,0.23 ,3.174 ,0.004 ,0.940 ,,24.785,48.446,0.029832767,3.83864E-05
3834,332435,IRIART2023_111,X-46049.3,3.67 ,0.23 ,3.388 ,0.005 ,1.240 ,,34.918,62.199,0.042011849,5.62512E-05
3834,332436,IRIART2023_112,X-46050.3,0.46 ,0.23 ,4.347 ,0.007 ,1.062 ,,38.37,56.37,0.046160886,7.39625E-05
3834,332437,IRIART2023_113,X-46051.3,0.64 ,0.23 ,2.570 ,0.007 ,0.904 ,,19.292,45.093,0.023230606,6.10248E-05
3834,332438,IRIART2023_114,X-46052.3,0.96 ,0.23 ,3.137 ,0.004 ,0.954 ,,24.863,48.86,0.029926517,3.81785E-05
3834,332439,IRIART2023_116,X-46053.3,0.73 ,0.23 ,5.078 ,0.011 ,1.104 ,,46.604,57.7,0.056057518,0.000120507
3834,332440,IRIART2023_120,X-46054.3,-2.07,0.23 ,5.583 ,0.011 ,0.944 ,,43.811,53.149,0.052700548,0.000104359
3834,332441,IRIART2023_123,X-46055.3,0.56 ,0.23 ,4.185 ,0.007 ,1.138 ,,39.592,58.527,0.047629636,8.06077E-05
3834,332442,IRIART2023_125,X-46056.3,2.24 ,0.23 ,3.833 ,0.004 ,0.940 ,,29.943,52.377,0.036032284,3.72465E-05
3834,332443,IRIART2023_129,X-46057.3,1.27 ,0.23 ,3.174 ,0.004 ,1.000 ,,26.37,51.264,0.031737814,3.51862E-05
3834,332444,IRIART2023_131,X-46058.3,4.05 ,0.23 ,3.363 ,0.004 ,0.905 ,,25.286,47.639,0.03043493,3.71357E-05
3834,332445,IRIART2023_132,X-46059.3,-0.08,0.23 ,2.618 ,0.006 ,0.947 ,,20.593,48.881,0.024794307,5.46788E-05
3834,332446,IRIART2023_133,X-46060.3,0.81 ,0.23 ,5.413 ,0.012 ,1.049 ,,47.206,57.711,0.056781075,0.000124016
3834,332447,IRIART2023_134,X-46064.3,2.06 ,0.23 ,3.606 ,0.004 ,0.964 ,,28.886,47.78,0.034761852,3.5285E-05
3834,332448,IRIART2023_135,X-46065.3,3.09 ,0.23 ,3.743 ,0.005 ,1.092 ,,33.972,56.595,0.040874831,5.18236E-05
